All,ທັງໝົດ,module,Magento_AdminGws
None,ບໍ່ມີ,module,Magento_AdminGws
Allowed Scopes,ຂອບເຂດທີ່ໄດ້ຮັບອະນຸຍາດ,module,Magento_AdminGws
You need more permissions to delete this item(s): %1.,ທ່ານຕ້ອງມີສິດຫຼາຍກ່ວານີ້ ເພື່ອຈະລຶບສິນຄ້າ %1 ນີ້ໄດ້.,module,Magento_AdminGws
You need more permissions to apply some of the rule updates.,ທ່ານຕ້ອງມີສິດຫຼາຍກ່ວານີ້ເພື່ອຈະອັດເດດໄດ້.,module,Magento_AdminGws
Please assign this entity to a store view.,ກະລຸນາຈັດແບ່ງຮູບປະທໍານີ້ເຂົ້າສູ່ຮ້ານຄ້າໃດໜຶ່ງທີ່ໃຊ້ງານໄດ້.,module,Magento_AdminGws
You can create orders only in an active store.,ທ່ານສາມາດສ້າງອໍເດີສະເພາະໃນຮ້ານທີ່ດຳເນີນຢູ່.,module,Magento_AdminGws
Please assign this item to a store view.,ກະລຸນາຈັດແບ່ງລາຍການນີ້ເຂົ້າສູ່ຮ້ານຄ້າ.,module,Magento_AdminGws
You need more permissions to save this item.,ທ່ານຕ້ອງມີສິດຫຼາຍກ່ວານີ້ເພື່ອບັນທຶກລາຍການນີ້,module,Magento_AdminGws
You need more permissions to delete this item.,ທ່ານຕ້ອງມີສິດຫຼາຍກ່ວານີ້ເພື່ອລຶບລາຍການນີ້,module,Magento_AdminGws
You need more permissions to view this item.,ທ່ານຕ້ອງມີສິດຫຼາຍກ່ວານີ້ເພື່ອເບິ່ງລາຍການນີ້,module,Magento_AdminGws
Please specify at least one website or one store group.,ກະລຸນາລະບຸຢ່າງນ້ອຍໜຶ່ງເວັບໄຊ ຫຼື ກຸ່ມຮ້ານຄ້າໜຶ່ງ,module,Magento_AdminGws
You need more permissions to set All Scopes to a Role.,ທ່ານຕ້ອງມີສິດທິຫຼາຍຂຶ້ນໃນການກໍານົດຂອບເຂດທັງໝົດທີ່ຈະມີບົດບາດ,module,Magento_AdminGws
Incorrect website ID: %1,ID ເວັບໄຊ້ບໍ່ຖືກຕ້ອງ: %1,module,Magento_AdminGws
"You need more permissions to access website ""%1"".","ທ່ານຕ້ອງມີສິດຫຼາຍກ່ວານີ້ເພື່ອຈະເຂົ້າເຖິງເວັບໄຊ້ ""%1""",module,Magento_AdminGws
Incorrect store ID: %1,ID ຮ້ານຄ້າບໍ່ຖືກຕ້ອງ: %1,module,Magento_AdminGws
You need more permissions to save this setting.,ທ່ານຕ້ອງມີສິດຫຼາຍກ່ວານີ້ເພື່ອບັນທຶຶກການຕັ້ງຄ່ານີ້,module,Magento_AdminGws
Role Scopes,ຂອບເຂດທີ່ຮັບຜິດຊອບ,module,Magento_AdminGws
Custom,ກຳນົດເອງ,module,Magento_AdminGws
Read Details,ອ່ານລາຍລະອຽດ,module,Magento_AdminNotification
Mark as Read,ໝາຍເຫດ ອ່ານແລ້ວ,module,Magento_AdminNotification
Are you sure?,ທ່ານແນ່ໃຈ?,module,Magento_AdminNotification
Remove,ລຶບອອກ,module,Magento_AdminNotification
Messages Inbox,Inbox ຂໍ້ຄວາມ,module,Magento_AdminNotification
You have %1 new system messages,ທ່ານມີຂໍ້ຄວາມໃໝ່ %1 ໃນລະບົບ,module,Magento_AdminNotification
You have %1 new system message,ທ່ານມີຂໍ້ຄວາມໃໝ່ %1 ໃນລະບົບ,module,Magento_AdminNotification
Incoming Message,ຂໍ້ຄວາມທີ່ເຂົ້າ,module,Magento_AdminNotification
close,ປິດ,module,Magento_AdminNotification
Notifications,ການແຈ້ງເຕືອນ,module,Magento_AdminNotification
The message has been marked as Read.,ຂໍ້ຄວາມນີ້ໄດ້ໝາຍເປັນ ອ່ານແລ້ວ,module,Magento_AdminNotification
We couldn't mark the notification as Read because of an error.,ທ່ານບໍ່ສາມາດໝາຍການແຈ້ງເຕືອນນີ້ເປັນອ່ານແລ້ວ ເພາະມີບັນຫາທາງລະບົບ,module,Magento_AdminNotification
Please select messages.,ກະລຸນາເລືອກຂໍ້ຄວາມ,module,Magento_AdminNotification
A total of %1 record(s) have been marked as Read.,ລວມ%1 ລາຍການ ທີ່ມີການເຮັດເຄື່ອງໝາຍວ່າອ່ານແລ້ວ ,module,Magento_AdminNotification
